age ht wt grmax
242 70 170.7 55.9 41
243 70 162.9 60.2 31
244 70 164.1 66.2 42
245 70 163 60 40
246 70 155.9 79 41
247 70 159.8 80.4 39
248 70 163.1 64.4 37
249 70 162.1 66 31
250 70 158.9 63.6 39
251 70 157.9 57.2 43
252 70 158.4 69.4 34
253 70 167.2 71.2 42
254 70 166.5 55.2 41
255 70 173.1 60.4 40
256 70 160.5 57.4 35
257 70 154.1 62 40
258 70 156.2 52 34
259 70 160.7 59.6 39
260 71 156.8 71 44
261 71 159.6 68.8 53
262 71 165.4 62.8 34
263 71 170.6 47.4 30
264 71 159.4 64.2 40
265 71 156.5 57.4 26
266 71 162.7 59.4 38
267 71 160.1 58.2 42
268 71 160.8 66.4 33
269 71 156.4 61.4 42
270 71 167.4 65.4 42
271 71 160.2 56.8 34
272 72 162 57.6 35
273 72 156.2 56.1 41
274 72 171.2 50.9 40
275 72 162 49.4 30
276 72 162.2 70.8 15
277 72 159.6 65 40
278 72 162 60.6 14
279 72 159.2 63.8 39
280 72 167 87.8 56
281 72 161.2 70.4 35
282 73 162.6 64.1 43
283 73 158.3 59.7 32
284 73 152.5 51.5 35
285 73 163.1 55.2 35
286 73 154.5 55.8 27
287 73 164.8 68.4 41
288 74 168.8 62.3 36
289 74 148.6 67.8 36
290 74 166 65.8 37
291 74 160.6 77.8 42
292 74 159.6 61 33
293 74 155.9 57.8 28
294 74 158.3 55.2 27
295 74 154 60.4 39
296 75 164.7 59.1 44
297 75 161.7 67.1 35
298 75 157.4 54.6 39
299 75 154 57.2 34
300 75 161.3 57.4 36
301 75 154.9 62.6 26
302 76 165 71.2 36
303 76 174.4 68.4 26
304 76 166.1 58.4 25
305 76 156.4 61.2 33
306 76 157.8 50.2 25
307 76 155.9 41.8 25
308 77 164.7 61.5 32
309 77 166.5 69.8 33
310 77 160.7 55.4 32
311 77 159.6 53.8 31
312 78 158.6 69.9 40
313 78 168 61.2 47
314 78 149.3 52.4 32
315 78 155.6 52.2 31
316 79 159.4 63 27
317 79 160.5 57.4 28
318 79 154.4 62.6 35
319 79 145.1 46.8 25
320 79 161.3 57 29
321 80 162.5 63.5 37
322 80 166.3 50.4 37
323 81 160.4 59.9 33
324 83 163.5 66.7 31
325 83 157.6 55.2 32
326 84 159.6 56.8 26
327 86 158.5 59.6 27
328 87 156.7 48.6 24
329 89 158.3 59.4 28
330 40 156.6 56.5 40
331 40 157.6 44.4 28
332 40 154.4 54.5 31
333 40 156.8 53.7 33
334 40 160 44.4 37
335 40 153 45.8 28
336 40 155 52.2 34
337 40 155.4 61.2 31
338 40 154.6 55.9 32
339 40 166.7 66.8 36
340 40 154.9 39.6 25
341 40 158.8 58.6 25
342 40 159.5 66.2 33
343 40 153.3 54.4 32
344 40 158.8 54.4 24
345 40 153.5 49 28
346 40 158.1 49.2 33
347 41 153 47.3 43
348 41 153 48.8 30
349 41 154.9 55.2 27
350 42 159.9 51.6 35
351 42 152.4 48.4 26
352 42 146 51 33
353 42 159.6 50.6 38
354 42 156.7 53.2 35
355 43 163.1 66.6 34
356 43 156.6 55 32
357 43 163 53.8 40
358 43 157 43.6 22
359 43 144.4 63.6 27
360 43 149.1 48.8 30
361 43 153.4 48 29
362 44 163.5 54.3 34
363 44 148.6 45.6 28
364 44 151.2 51.6 32
365 45 159 58 33
366 45 151 43.6 27
367 45 156 49.4 26
368 45 148.3 48.4 34
369 45 153 60.8 30
370 45 162 60 36
371 45 156.7 58.4 36
372 45 157 54.9 28
373 45 149.7 49.9 26
374 45 152.7 62.8 34
375 45 148.7 40.4 25
376 45 147.6 77.8 22
377 45 173.8 68.4 55
378 45 161.1 70 27
379 45 157.4 57.6 27
380 45 157.6 49.8 28
381 45 161.9 55 36
382 45 152 52 36
383 45 153.6 69.4 25
384 45 144.9 42 23
385 45 151.2 50 25
386 45 155.9 46.6 27
387 45 148.8 49 31
388 45 142.7 60.2 24
389 45 150.7 68.6 27
390 46 152 51 29
391 46 158.4 52.5 30
392 46 152.4 44.2 25
393 46 148.7 57.5 15
394 46 152.1 55 36
395 46 148.6 52 30
396 46 161.6 58.6 29
397 46 152.7 76.4 25
398 46 147.3 38 21
399 46 148 52.2 29
400 47 160.1 63.5 40
401 47 150.6 41.4 24
402 47 152.8 48.3 26
403 47 155.6 53.8 35
404 47 163.9 84 34
405 47 157.7 60 28
406 47 162.4 58.4 31
407 47 148.6 52.2 32
408 47 162.6 51.4 29
409 47 147.8 53.2 25
410 47 156.3 55.4 27
411 47 160.7 48.4 28
412 47 148.4 39.2 23
413 47 162.1 57.8 30
414 48 160.9 72.7 32
415 48 163.1 73.5 36
416 48 157 63 36
417 48 156.5 56.2 32
418 48 153.4 64.6 28
419 48 162.8 61.2 43
420 48 141.4 58.8 24
421 49 141.4 47.6 25
422 49 154 52.2 31
423 49 146.6 62.3 28
424 49 153.2 61.2 27
425 49 148.6 44.9 27
426 49 151.6 52.4 32
427 49 158.3 51 25
428 49 157 62.8 35
429 49 150 56.8 30
430 49 153.8 47.4 27
431 49 140.5 54.4 19
432 50 148.9 58.1 27
433 50 151.8 51 32
434 50 156.6 55.8 34
435 50 158.7 48.8 34
436 50 153.5 58.1 27
437 50 150.5 58.4 36
438 50 153 54.6 32
439 50 153 62.8 39
440 50 155.1 47.4 29
441 50 151.3 62.4 21
442 50 150 58.6 23
443 50 157.4 59.2 39
444 50 168.8 65.6 47
445 50 157.8 50.2 26
446 50 153.1 53.2 26
447 50 150.4 45.6 30
448 50 146.6 68 26
449 50 146.7 54.6 23
450 50 153.3 57 24
451 50 150.2 35.2 25
452 50 149 53.4 26
453 50 161.4 54.4 22
454 50 159.4 69.2 35
455 50 153.9 58.6 29
456 50 151.4 61.6 35
457 50 154.8 62.8 24
458 50 158.2 56.4 27
459 50 157.9 60.4 31
460 50 154.6 66 15
461 50 157.4 56.6 28
462 50 152.5 59.4 34
463 50 153.7 70.4 24
464 51 150.1 44.6 16
465 51 157.8 54.7 28
466 51 145.9 39.9 19
467 51 154.5 50.6 32
468 51 152.2 49.2 25
469 51 160.4 68.2 37
470 51 153.8 71.8 28
471 51 149.6 53.8 29
472 51 151.8 52.2 24
473 51 147.9 61.2 28
474 51 151.3 54.4 29
475 51 145.8 58.2 31
476 51 153.1 51.6 29
477 52 146.3 58.2 23
478 52 149.5 52.8 30
479 52 153.1 50.8 16
480 52 144.9 47.6 28
481 52 156.7 57.2 22
482 52 152.2 53.8 26
483 52 157.5 91 36
484 52 155.7 55 31
485 52 154.1 55.2 34
486 52 158.3 64 34
487 52 148.5 66.6 27
488 53 158.6 73.4 37
489 53 158 45.2 30
490 53 154.9 62 26
491 53 154.2 52.1 22
492 53 157.6 52.3 27
493 53 148.8 50 26
494 53 150 50.4 24
495 53 150 59.4 27
496 53 149.3 50.8 27
497 53 149.9 54 28
498 53 147.9 45.6 16
499 54 156.4 62.4 30
500 54 144 42.4 24
501 54 154.3 58.4 30
502 54 156.8 61.6 21
503 54 153.7 60.6 16
504 54 150.8 71.8 32
505 54 149.1 46.8 24
506 54 155.9 64.4 28
507 54 145 42.2 19
508 55 158.6 68.5 33
509 55 152.1 50.2 25
510 55 152.4 51.7 30
511 55 150.2 52.9 26
512 55 148.7 61.7 30
513 55 149.4 43.6 30
514 55 152.5 52.4 27
515 55 153 49.2 26
516 55 152.3 62.7 22
517 55 153.1 41 19
518 55 152.8 69.6 29
519 55 155.2 47.8 21
520 55 145.7 53.4 27
521 55 155 45.4 29
522 55 155.7 59.4 37
523 55 149.1 57.6 26
524 55 148.6 57.2 18
525 55 153 58.6 33
526 55 157.7 60.2 23
527 55 156.4 60.8 28
528 55 150.7 49 25
529 55 157.3 49.8 26
530 55 157.5 55.8 26
531 55 151.5 75.8 27
532 55 149.3 55 22
533 55 152.5 61.2 24
534 55 154.9 54.4 26
535 55 143.8 51.2 19
536 55 156.4 77.4 40
537 55 151.4 54.8 23
538 55 152.8 48.2 20
539 56 155.4 70 28
540 56 154.3 48.8 25
541 56 148.4 55.2 24
542 56 155.8 55 15
543 56 158 59.4 23
544 56 146.2 36 22
545 56 143.8 49.2 23
546 57 143.9 50.5 26
547 57 154 64.2 28
548 57 161.2 51.5 30
549 57 155.3 54.7 29
550 57 153.4 52.2 20
551 57 160.5 61 30
552 57 154.1 66.4 28
553 57 144.7 53 18
554 57 155.7 57 25
555 57 149.8 53.2 30
556 57 146.5 58.8 24
557 57 153.1 47.8 27
558 57 143.6 43.4 22
559 57 158 60.2 23
560 57 153.9 43.4 22
561 57 147.9 46.6 22
562 58 143 57.2 30
563 58 149.4 55.9 24
564 58 150.1 58.5 28
565 58 159 67 31
566 58 157.2 60 31
567 58 161.6 56.8 31
568 58 148.2 66.6 20
569 58 154.1 58.6 29
570 58 149 46.8 26
571 58 150.6 63.2 34
572 58 153.9 53.8 24
573 58 150.8 47.4 26
574 59 156.6 57.2 25
575 59 158 55.6 26
576 59 149.7 65.6 21
577 59 151.2 49.6 30
578 59 154.5 63 25
579 59 151.4 63.4 26
580 59 142 49.4 24
581 59 148.9 50.4 20
582 59 147.8 48.2 25
583 59 152.4 61.2 23
584 59 148.7 44.6 28
585 59 148.2 59 28
586 59 150.4 52.8 31
587 60 155 59.2 29
588 60 139.4 51.4 28
589 60 151.1 50.5 23
590 60 150 49.4 23
591 60 147.3 53 29
592 60 144.3 50.2 23
593 60 158.9 53.8 30
594 60 142.5 46.8 26
595 60 143.9 50 21
596 60 154.7 59.8 30
597 60 148.8 50 22
598 60 153.9 53 28
599 60 162.2 72.4 30
600 60 153 57 24
601 60 155.1 72 21
602 60 142.7 51.2 28
603 60 146.2 59.6 21
604 60 155.3 50.8 32
605 60 150.3 58.2 30
606 60 156.8 62.2 34
607 60 150.8 43.8 21
608 60 148.9 56.6 26
609 60 140.7 37.8 20
610 60 148.3 43 22
611 60 151.6 54.4 23
612 60 154 53 26
613 61 150.6 42.4 23
614 61 156 58.2 32
615 61 159.1 67.4 33
616 61 148.3 53.2 28
617 61 153.7 49.8 33
618 61 150.9 57.7 28
619 61 154.3 49.3 21
620 61 151.9 57.2 22
621 61 154.6 57.4 22
622 61 162.5 52.2 26
623 61 144.6 47.6 27
624 61 152.8 56.2 23
625 61 146 40.2 27
626 61 146.1 56.6 19
627 61 157.1 63.2 30
628 61 161.1 51.6 27
629 61 152.4 58.6 28
630 61 152.4 58.8 21
631 61 152.5 54 23
632 61 146.6 59.3 20
633 61 146.6 58.2 21
634 61 152.6 62.2 33
635 61 147.7 64.4 24
636 62 157.8 58.3 25
